📡  电信广电,#genre#
广东少儿高清,http:///rtp/239.11.0.81:1025 
嘉佳卡通高清,http:///rtp/239.10.0.200:1025 
广东移动,http:///rtp/239.10.0.143:1025 
南国都市4K,http:///rtp/239.11.0.170:1025 
广州综合高清,http:///rtp/239.11.0.138:1025 
广州新闻高清,http:///rtp/239.11.0.139:1025 
广州影视高清,http:///rtp/239.11.0.140:1025 
广州法治高清,http:///rtp/239.11.0.141:1025 
佛山公共,http:///rtp/239.11.0.114:1025 
佛山南海,http:///rtp/239.11.0.115:1025 
佛山顺德,http:///rtp/239.11.0.116:1025 
佛山综合,http:///rtp/239.11.0.118:1025 
肇庆综合,http:///rtp/239.11.0.53:1025 
肇庆生活服务,http:///rtp/239.11.0.54:1025 
清远新闻综合,http:///rtp/239.11.0.74:1025          
清远文旅生活,http:///rtp/239.11.0.75:1025 
韶关综合,http:///rtp/239.11.0.84:1025 
江门侨乡生活,http:///rtp/239.10.0.139:1025 
江门综合,http:///rtp/239.10.0.219:1025 
珠海-1,http:///rtp/239.10.0.242:1025 
中山综合,http:///rtp/239.11.0.122:1025 
中山香山文化,http:///rtp/239.11.0.123:1025 
云浮综合,http:///rtp/239.11.0.96:1025 
云浮文旅,http:///rtp/239.11.0.97:1025 
茂名文化生活,http:///rtp/239.11.0.99:1025 
茂名综合,http:///rtp/239.10.0.238:1025 
湛江新闻综合,http:///rtp/239.10.0.253:1025 
湛江公共,http:///rtp/239.10.0.254:1025 
其他,#genre# 
精彩竞技,http:///rtp/239.11.0.183:1025 
精彩广场舞,http:///rtp/239.11.0.184:1025 
金鹰纪实,http:///rtp/239.10.0.206:1025 
金鹰卡通,http:///rtp/239.11.0.125:1025 
中国交通,http:///rtp/239.10.0.72:1025 
环球奇观,http:///rtp/239.10.0.36:1025 
国学频道,http:///rtp/239.10.0.38:1025 
卡酷动画,http:///rtp/239.10.0.172:1025 
炫动卡通,http:///rtp/239.10.0.174:1025 
财富天下,http:///rtp/239.10.0.177:1025 
汽摩,http:///rtp/239.10.0.232:1025 
书画,http:///rtp/239.11.0.174:1025 
IPTV相声小品,http:///rtp/239.10.0.9:1025 
IPTV野外,http:///rtp/239.10.0.10:1025 
IPTV法治,http:///rtp/239.10.0.11:1025 
IPTV3+,http:///rtp/239.10.0.16:1025 
IPTV收视指南,http:///rtp/239.10.0.20:1025
IPTV5+高清,http:///rtp/239.10.0.218:1025 
IPTV谍战剧场,http:///rtp/239.10.0.8:1025 
IPTV6+,http:///rtp/239.10.0.12:1025 
IPTV经典电影,http:///rtp/239.10.0.13:1025 
IPTV8+,http:///rtp/239.10.0.14:1025 
IPTV热播剧场,http:///rtp/239.10.0.15:1025 
IPTV少儿动画,http:///rtp/239.10.0.18:1025 
IPTV魅力时尚,http:///rtp/239.10.0.19:1025
